DATE,World Equities,US Treasuries,High Yield ,Inflation Protection,Currency Protection,Regime-5,Regime-7,Regime-NBER,US Equities,EAFE Equities,EM Equities,LongTreasuries,Corp Bonds,TIPS(backfilled),Real Estate,Commodities,T-bill
1/1/85,0.028511,0.019243,0.037908,-0.016265,,1,1,1,0.081301,0.02279517,,0.0315,0.029028581,0.002978,0.056605,0.021351,0.006918734
2/1/85,-0.009204,-0.017574808,0.012689,0.006362,,1,1,1,0.030075,-0.005607098,,-0.044692196,-0.025400593,-0.011213,0.016448,-0.015217,0.006440909
3/1/85,0.075134,0.018955789,0.004323,-0.002848,,1,1,1,-0.007299,0.07789491,,0.028719302,0.019404863,0.016108,-0.006716,0.037171,0.007346242
4/1/85,-0.002459,0.020646646,0.018215,0.003089,,1,1,1,-0.012255,-0.003114079,,0.023083753,0.022340807,0.023735,0.000906,-0.035116,0.006648233
5/1/85,0.040245,0.048570306,0.042363,0.004077,,1,1,1,0.064516,0.04280149,,0.086780445,0.063610159,0.052647,0.027241,0.004351,0.006858258
6/1/85,0.022419,0.012060914,0.012712,0.02761,,1,1,1,0.020979,0.02599928,,0.014284447,0.007910639,0.039671,0.023207,-0.046275,0.005417229
7/1/85,0.04848,-0.004447453,0.008399,-0.010178,,1,1,1,0.004566,0.051970337,,-0.014958013,-0.004105955,-0.014626,0.009221,-0.00624,0.006108707
8/1/85,0.027709,0.015331591,0.020119,0.016312,,1,1,1,-0.009091,0.032426247,,0.021934109,0.023752189,0.031644,-0.054684,0.014064,0.005767757
9/1/85,0.048713,0.007526766,0.009599,-0.004868,,1,1,1,-0.027523,0.058835511,,0.002172402,0.000605866,0.002659,-0.031145,0.060092,0.006331675
10/1/85,0.058439,0.019149027,0.002563,0.026578,,1,1,1,0.037736,0.068343896,,0.033902714,0.024362445,0.045727,0.031415,0.075345,0.006184234
11/1/85,0.044028,0.023286895,0.024928,0.018646,,1,1,1,0.054545,0.041350682,,0.04478363,0.025799722,0.041932,-0.016072,0.013692,0.006248343
12/1/85,0.043064,0.0303463,0.037576,0.002057,,1,1,1,0.053879,0.04765636,,0.055787446,0.032879127,0.032404,0.006132,-0.020173,0.005725924
1/1/86,0.023523,0.005607052,0.013204,0.00114,-0.013350483,1,1,1,0.018405,0.02536046,,0.001900707,0.007449462,0.006748,0.038663,-0.11485,0.006700087
2/1/86,0.103886,0.041907625,0.038498,-0.03839,-0.04091741,1,1,1,0.062249,0.111080498,,0.10213993,0.047819147,0.003517,0.037841,-0.026356,0.005506549
3/1/86,0.135545,0.044066965,0.038398,-0.059908,0.003138233,1,1,1,0.045369,0.140899243,,0.090884054,0.024341717,-0.015841,0.024605,0.01838,0.005272962
4/1/86,0.061881,0.003245008,0.015905,-0.001805,-0.049272317,1,1,1,0.001808,0.065749059,,-0.006374653,0.005432473,0.00144,0.005987,0.040201,0.005057637
5/1/86,-0.041809,-0.026466794,0.011,0.064318,0.042795573,1,1,1,0.045126,-0.044234204,,-0.060598361,-0.010987352,0.037851,-0.005707,-0.030005,0.005489994
6/1/86,0.062988,0.035245178,0.011101,-0.02296,-0.037015937,1,1,1,0.025907,0.068439459,,0.065386436,0.018770029,0.012285,0.035197,0.034614,0.005001195
7/1/86,0.056267,0.008510377,-0.010003,-0.023097,-0.028585418,1,1,1,-0.06734,0.06190283,,-0.003363798,0.004523667,-0.014586,0.004531,0.028016,0.005025921
8/1/86,0.09719,0.027941989,0.015401,0.004634,-0.005013972,1,1,1,0.070397,0.098812774,,0.042794371,0.020518326,0.032576,0.041686,0.075423,0.004333404
9/1/86,-0.008612,-0.017293076,0.011997,0.038342,0.000959946,1,1,1,-0.072513,-0.010031709,,-0.038839695,-0.002863906,0.021049,-0.023978,-0.019335,0.004784963
10/1/86,-0.063019,0.014118417,0.023202,-0.022404,0.025791124,1,1,1,0.047273,-0.066577551,,0.019505687,0.01676387,-0.008286,0.036946,0.007634,0.004755435
11/1/86,0.056102,0.012192483,-0.002698,-0.014355,-0.01928419,1,1,1,0.008681,0.057864316,,0.019506419,0.014412129,-0.002162,-0.005541,0.039677,0.004175837
12/1/86,0.051167,0.000518998,-0.002903,0.003733,-0.018119232,1,1,1,-0.024096,0.053246831,,-0.002445137,0.009007473,0.004252,-0.010529,-0.019388,0.004608818
1/1/87,0.108203,0.010706822,0.0414,0.026108,-0.031835507,1,1,1,0.13933,0.106430487,,0.016790245,0.021824838,0.036815,0.021365,0.050863,0.005004707
2/1/87,0.031426,0.008437253,0.0212,0.037493,-0.005705111,1,1,1,0.037152,0.030182926,,0.015548725,0.006035552,0.04593,0.030648,-0.05544,0.00435104
3/1/87,0.084565,-0.012954129,0.006903,0.07142,-0.029229465,1,1,1,0.026866,0.082188553,,-0.031570827,-0.003999562,0.058466,0.001829,0.08456,0.004672709
4/1/87,0.099715,-0.018842826,-0.034799,0.040167,-0.008373193,1,1,1,-0.018895,0.105985063,,-0.035480115,-0.032867594,0.021324,-0.02711,0.05086,0.004712296
5/1/87,-0.000571,-0.004917896,0.007196,0.033259,0.01421562,1,1,1,0.005926,0.000179578,,-0.012897078,-0.004550237,0.028341,-0.009524,0.047262,0.004882703
6/1/87,-0.028603,0.01114796,0.012801,0.020447,0.0052275,1,1,1,0.04271,-0.031676381,,0.011649611,0.014541611,0.031595,0.019903,0.037225,0.004734183
7/1/87,0.004196,-0.003732331,0.002704,0.026326,0.013124412,1,1,1,0.045198,-0.001571428,,-0.01965899,-0.002731471,0.022593,0.000979,0.057272,0.005239528
8/1/87,0.071292,-0.00440849,0.0062,0.019145,-0.029045197,1,1,1,0.024324,0.075188464,,-0.013044325,-0.005619088,0.014737,-0.018997,-0.038489,0.00487834
