Age,Probability_M,Number_M,Life_M,Probability_F,Number_F,Life_F
0,0.006383,100000.00,76.15,0.005374,100000.00,80.97
1,0.000453,99362.00,75.63,0.000353,99463.00,80.41
2,0.000282,99317.00,74.67,0.000231,99427.00,79.44
3,0.000230,99289.00,73.69,0.000165,99405.00,78.45
4,0.000169,99266.00,72.71,0.000129,99388.00,77.47
5,0.000155,99249.00,71.72,0.000116,99375.00,76.48
6,0.000145,99234.00,70.73,0.000107,99364.00,75.48
7,0.000135,99219.00,69.74,0.000101,99353.00,74.49
8,0.000120,99206.00,68.75,0.000096,99343.00,73.50
9,0.000105,99194.00,67.76,0.000092,99334.00,72.51
10,0.000094,99184.00,66.76,0.000091,99325.00,71.51
11,0.000099,99174.00,65.77,0.000096,99316.00,70.52
12,0.000134,99164.00,64.78,0.000111,99306.00,69.53
13,0.000207,99151.00,63.79,0.000138,99295.00,68.53
14,0.000309,99131.00,62.80,0.000174,99281.00,67.54
15,0.000419,99100.00,61.82,0.000214,99264.00,66.56
16,0.000530,99059.00,60.84,0.000254,99243.00,65.57
17,0.000655,99006.00,59.88,0.000294,99217.00,64.59
18,0.000791,98941.00,58.91,0.000330,99188.00,63.61
19,0.000934,98863.00,57.96,0.000364,99156.00,62.63
20,0.001085,98771.00,57.01,0.000399,99120.00,61.65
21,0.001228,98663.00,56.08,0.000436,99080.00,60.67
22,0.001339,98542.00,55.14,0.000469,99037.00,59.70
23,0.001403,98410.00,54.22,0.000497,98990.00,58.73
24,0.001433,98272.00,53.29,0.000522,98941.00,57.76
25,0.001451,98131.00,52.37,0.000546,98890.00,56.79
26,0.001475,97989.00,51.44,0.000572,98836.00,55.82
27,0.001502,97844.00,50.52,0.000604,98779.00,54.85
28,0.001538,97698.00,49.59,0.000644,98719.00,53.88
29,0.001581,97547.00,48.67,0.000690,98656.00,52.92
30,0.001626,97393.00,47.75,0.000740,98588.00,51.95
31,0.001669,97235.00,46.82,0.000792,98515.00,50.99
32,0.001712,97072.00,45.90,0.000841,98437.00,50.03
