,baa_aaa_mo,baa_trea_avg,Term_10y_3m,T10y3m_avg,inflation,Inflation-m,real_interest,unemploy,umem-true,gdp_growth,rcon_growth,gdp-adjusted,rcon-adjusted,Dollar,CFNAI,CFNAIMA3,PI-CFNAI,CH-CFNAI,UNEM-CFNAI
1/1/86,1.389,2.24,1.710,1.892,3.886,-0.274,3.844,-4.286,0.000,0.927,0.847,0.000,0.000,-1.335,0.801,0.566,0.320,0.124,0.120
2/1/86,1.446,2.41,1.800,1.414,3.113,-0.457,4.497,7.463,-4.286,0.927,0.847,0.000,0.000,-4.092,-0.819,0.134,-0.424,0.049,-0.280
3/1/86,1.500,2.72,0.800,1.015,2.256,-0.184,4.774,0.000,7.463,0.927,0.847,0.000,0.000,0.314,-0.303,-0.107,-0.308,0.123,-0.020
4/1/86,1.402,2.89,0.850,1.064,1.590,0.276,4.850,-1.389,0.000,0.459,1.118,0.000,0.000,-4.927,0.576,-0.182,-0.003,0.190,0.050
5/1/86,1.197,2.58,1.160,1.375,1.491,0.551,5.159,1.408,-1.389,0.459,1.118,0.000,0.000,4.280,-0.168,0.035,0.024,0.157,-0.040
6/1/86,1.207,2.54,1.760,1.403,1.766,0.000,4.964,0.000,1.408,0.459,1.118,0.000,0.000,-3.702,-0.289,0.040,-0.248,0.052,-0.190
7/1/86,1.289,2.86,1.200,1.304,1.577,0.183,4.693,-2.778,0.000,1.008,1.811,0.000,0.000,-2.859,0.528,0.024,0.124,0.137,0.260
8/1/86,1.459,3.02,1.400,1.480,1.574,0.456,4.356,-1.429,-2.778,1.008,1.811,0.000,0.000,-0.501,0.085,0.108,0.000,0.134,0.040
9/1/86,1.313,2.75,1.700,2.095,1.754,0.091,4.016,1.449,-1.429,1.008,1.811,0.000,0.000,0.096,0.787,0.467,-0.013,0.360,0.140
10/1/86,1.375,2.81,2.080,2.103,1.472,0.091,4.248,0.000,1.449,0.518,0.640,0.000,0.000,2.579,-0.199,0.225,0.130,-0.174,0.020
11/1/86,1.387,2.81,1.930,1.751,1.284,0.091,4.516,-1.429,0.000,0.518,0.640,0.000,0.000,-1.928,0.126,0.238,0.118,-0.003,0.130
12/1/86,1.478,2.86,1.610,1.430,1.098,0.633,4.772,-4.348,-1.429,0.518,0.640,0.000,0.000,-1.812,1.159,0.362,0.350,0.370,0.180
1/1/87,1.366,2.64,1.480,1.507,1.460,0.360,4.320,0.000,-4.348,0.699,0.016,0.000,0.000,-3.184,-0.976,0.103,-0.263,-0.281,0.020
2/1/87,1.269,2.40,1.460,1.499,2.104,0.448,3.856,0.000,0.000,0.699,0.016,0.000,0.000,-0.571,1.929,0.704,0.667,0.344,0.320
3/1/87,1.246,2.36,1.540,1.483,3.033,0.535,2.997,0.000,0.000,0.699,0.016,0.000,0.000,-2.923,0.246,0.400,-0.045,0.087,0.200
4/1/87,1.191,2.02,1.880,2.207,3.775,0.355,2.725,-4.545,0.000,1.122,1.387,0.000,0.000,-0.837,0.487,0.887,0.183,0.093,0.310
5/1/87,1.188,1.90,2.610,2.767,3.857,0.354,3.143,0.000,-4.545,1.122,1.387,0.000,0.000,1.422,0.726,0.486,0.393,0.039,0.300
6/1/87,1.201,2.12,2.530,2.548,3.653,0.264,3.147,-1.587,0.000,1.122,1.387,0.000,0.000,0.523,0.359,0.524,0.105,0.096,0.050
7/1/87,1.191,2.16,2.540,2.568,3.927,0.527,2.753,-1.613,-1.587,0.907,1.159,0.000,0.000,1.312,1.013,0.699,0.378,0.079,0.380
