DATE,CPI,SP500,SP500TR,Wil5000
4/1/57,27.9,44.11,,
5/1/57,28,45.74,,
6/1/57,28.1,47.43,,
7/1/57,28.3,47.37,,
8/1/57,28.3,47.91,,
9/1/57,28.3,45.22,,
10/1/57,28.3,42.42,,
11/1/57,28.4,41.06,,
12/1/57,28.4,41.72,,
1/1/58,28.6,39.99,,
2/1/58,28.6,41.7,,
3/1/58,28.8,40.84,,
4/1/58,28.9,42.1,,
5/1/58,28.9,43.44,,
6/1/58,28.9,44.09,,
7/1/58,29,45.24,,
8/1/58,28.9,47.19,,
9/1/58,28.9,47.75,,
10/1/58,28.9,50.06,,
11/1/58,29,51.33,,
12/1/58,28.9,52.48,,
1/1/59,29,55.21,,
2/1/59,28.9,55.42,,
3/1/59,28.9,55.41,,
4/1/59,29,55.44,,
5/1/59,29,57.59,,
6/1/59,29.1,58.68,,
7/1/59,29.2,58.47,,
8/1/59,29.2,60.51,,
9/1/59,29.3,59.6,,
10/1/59,29.4,56.88,,
11/1/59,29.4,57.52,,
12/1/59,29.4,58.28,,
1/1/60,29.3,59.89,,
2/1/60,29.4,55.61,,
3/1/60,29.4,56.12,,
4/1/60,29.5,55.34,,
5/1/60,29.5,54.37,,
6/1/60,29.6,55.83,,
7/1/60,29.6,56.92,,
8/1/60,29.6,55.51,,
9/1/60,29.6,56.96,,
10/1/60,29.8,53.52,,
11/1/60,29.8,53.39,,
12/1/60,29.8,55.54,,
1/1/61,29.8,58.11,,
2/1/61,29.8,61.78,,
3/1/61,29.8,63.44,,
4/1/61,29.8,65.06,,
5/1/61,29.8,65.31,,
6/1/61,29.8,66.56,,
7/1/61,30,64.64,,
8/1/61,29.9,66.76,,
9/1/61,30,68.07,,
10/1/61,30,66.73,,
11/1/61,30,68.62,,
12/1/61,30,71.32,,
1/1/62,30,71.55,,
2/1/62,30.1,68.84,,
3/1/62,30.1,69.96,,
4/1/62,30.2,69.55,,
5/1/62,30.2,65.24,,
6/1/62,30.2,59.63,,
7/1/62,30.3,54.75,,
8/1/62,30.3,58.23,,
9/1/62,30.4,59.12,,
10/1/62,30.4,56.27,,
11/1/62,30.4,56.52,,
12/1/62,30.4,62.26,,
1/1/63,30.4,63.1,,
2/1/63,30.4,66.2,,
3/1/63,30.5,64.29,,
4/1/63,30.5,66.57,,
5/1/63,30.5,69.8,,
6/1/63,30.6,70.8,,
7/1/63,30.7,69.37,,
8/1/63,30.7,69.13,,
9/1/63,30.7,72.5,,
10/1/63,30.8,71.7,,
11/1/63,30.8,74.01,,
12/1/63,30.9,73.23,,
1/1/64,30.9,75.02,,
2/1/64,30.9,77.04,,
3/1/64,30.9,77.8,,
4/1/64,30.9,78.98,,
5/1/64,30.9,79.46,,
6/1/64,31,80.37,,
7/1/64,31.1,81.69,,
8/1/64,31,83.18,,
9/1/64,31.1,81.83,,
10/1/64,31.1,84.18,,
11/1/64,31.2,84.86,,
12/1/64,31.2,84.42,,
1/1/65,31.2,84.75,,
2/1/65,31.2,87.56,,
3/1/65,31.3,87.43,,
